COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED,date
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/1 2:36,986848,15.207151,0.000828,97.5748,135.5704,134.1626,226.0291,0,999,8391,0.00085958,0.00018882,0,3728257,0 SPACEBEE-104,1 48890U 21059M   23001.10847207  .00018882  00000-0  85958-3 0  9996,2 48890  97.5748 135.5704 0008280 134.1626 226.0291 15.20715100 83912,2021-059M,48890,6881.819,94.692,509.383,497.986,0,2023/1/1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/1 15:14,950304,15.20734701,0.0008316,97.5749,136.0996,132.2965,227.8977,0,999,8399,0.00083215,0.00018286,0,3728759,0 SPACEBEE-104,1 48890U 21059M   23001.63487211  .00018286  00000-0  83215-3 0  9991,2 48890  97.5749 136.0996 0008316 132.2965 227.8977 15.20734701 83993,2021-059M,48890,6881.76,94.691,509.348,497.902,0,2023/1/2
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/2 7:01,344192,15.20760646,0.0008372,97.5752,136.7612,130.0449,230.1521,0,999,8409,0.0008635,0.00018994,0,3729433,0 SPACEBEE-104,1 48890U 21059M   23002.29286278  .00018994  00000-0  86350-3 0  9993,2 48890  97.5752 136.7612 0008372 130.0449 230.1521 15.20760646 84095,2021-059M,48890,6881.682,94.689,509.308,497.786,0,2023/1/3
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/2 14:55,248672,15.20768055,0.0008391,97.5752,137.092,129.0247,231.1736,0,999,8414,0.00072746,0.00015988,0,3729583,0 SPACEBEE-104,1 48890U 21059M   23002.62185473  .00015988  00000-0  72746-3 0  9999,2 48890  97.5752 137.0920 0008391 129.0247 231.1736 15.20768055 84143,2021-059M,48890,6881.66,94.689,509.299,497.75,0,2023/1/4
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/3 1:58,763296,15.20782587,0.0008392,97.5751,137.5551,127.6036,232.5962,0,999,8421,0.00067857,0.00014913,0,3730480,0 SPACEBEE-104,1 48890U 21059M   23003.08243939  .00014913  00000-0  67857-3 0  9996,2 48890  97.5751 137.5551 0008392 127.6036 232.5962 15.20782587 84218,2021-059M,48890,6881.616,94.688,509.256,497.706,0,2023/1/5
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/3 1:58,763296,15.20782587,0.0008392,97.5751,137.5551,127.6036,232.5962,0,999,8421,0.00067857,0.00014913,0,3730926,0 SPACEBEE-104,1 48890U 21059M   23003.08243939  .00014913  00000-0  67857-3 0  9996,2 48890  97.5751 137.5551 0008392 127.6036 232.5962 15.20782587 84218,2021-059M,48890,6881.616,94.688,509.256,497.706,0,2023/1/6
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/4 7:58,440256,15.20828631,0.0008363,97.5752,138.8121,123.7584,236.4449,0,999,8440,0.00087928,0.00019382,0,3731584,0 SPACEBEE-104,1 48890U 21059M   23004.33257454  .00019382  00000-0  87928-3 0  9998,2 48890  97.5752 138.8121 0008363 123.7584 236.4449 15.20828631 84404,2021-059M,48890,6881.477,94.685,509.097,497.587,0,2023/1/7
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/4 7:58,440256,15.20828631,0.0008363,97.5752,138.8121,123.7584,236.4449,0,999,8440,0.00087928,0.00019382,0,3731823,0 SPACEBEE-104,1 48890U 21059M   23004.33257454  .00019382  00000-0  87928-3 0  9998,2 48890  97.5752 138.8121 0008363 123.7584 236.4449 15.20828631 84404,2021-059M,48890,6881.477,94.685,509.097,497.587,0,2023/1/8
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/4 15:52,963200,15.20845656,0.0008333,97.5752,139.1429,122.6519,237.5521,0,999,8445,0.0010619,0.00023447,0,3732134,0 SPACEBEE-104,1 48890U 21059M   23004.66155050  .00023447  00000-0  10619-2 0  9992,2 48890  97.5752 139.1429 0008333 122.6519 237.5521 15.20845656 84456,2021-059M,48890,6881.426,94.684,509.025,497.556,0,2023/1/9
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/5 4:30,78400,15.2086393,0.0008359,97.5754,139.6721,121.0825,239.1231,0,999,8453,0.00089024,0.00019645,0,3732939,0 SPACEBEE-104,1 48890U 21059M   23005.18790600  .00019645  00000-0  89024-3 0  9998,2 48890  97.5754 139.6721 0008359 121.0825 239.1231 15.20863930 84539,2021-059M,48890,6881.37,94.683,508.988,497.483,0,2023/1/10
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/5 15:33,969920,15.20884456,0.0008373,97.5756,140.1353,119.4387,240.7685,0,999,8460,0.00089692,0.00019806,0,3732963,0 SPACEBEE-104,1 48890U 21059M   23005.64846030  .00019806  00000-0  89692-3 0  9998,2 48890  97.5756 140.1353 0008373 119.4387 240.7685 15.20884456 84604,2021-059M,48890,6881.308,94.682,508.935,497.412,0,2023/1/11
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/5 15:33,969920,15.20884456,0.0008373,97.5756,140.1353,119.4387,240.7685,0,999,8460,0.00089692,0.00019806,0,3733163,0 SPACEBEE-104,1 48890U 21059M   23005.64846030  .00019806  00000-0  89692-3 0  9998,2 48890  97.5756 140.1353 0008373 119.4387 240.7685 15.20884456 84604,2021-059M,48890,6881.308,94.682,508.935,497.412,0,2023/1/12
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/6 7:21,448000,15.20920569,0.0008424,97.576,140.7971,116.9107,243.299,0,999,8470,0.0010499,0.00023231,0,3733842,0 SPACEBEE-104,1 48890U 21059M   23006.30638250  .00023231  00000-0  10499-2 0  9990,2 48890  97.5760 140.7971 0008424 116.9107 243.2990 15.20920569 84704,2021-059M,48890,6881.2,94.68,508.861,497.268,0,2023/1/13
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/6 7:21,448000,15.20920569,0.0008424,97.576,140.7971,116.9107,243.299,0,999,8470,0.0010499,0.00023231,0,3734255,0 SPACEBEE-104,1 48890U 21059M   23006.30638250  .00023231  00000-0  10499-2 0  9990,2 48890  97.5760 140.7971 0008424 116.9107 243.2990 15.20920569 84704,2021-059M,48890,6881.2,94.68,508.861,497.268,0,2023/1/14
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/7 2:18,430656,15.20952609,0.0008507,97.5762,141.591,114.1931,246.0194,0,999,8482,0.00091086,0.00020156,0,3735161,0 SPACEBEE-104,1 48890U 21059M   23007.09587304  .00020156  00000-0  91086-3 0  9995,2 48890  97.5762 141.5910 0008507 114.1931 246.0194 15.20952609 84825,2021-059M,48890,6881.103,94.678,508.822,497.114,0,2023/1/15
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/8 3:33,412096,15.20997093,0.0008476,97.5762,142.6498,110.9501,249.2642,0,999,8498,0.00097368,0.00021583,0,3735652,0 SPACEBEE-104,1 48890U 21059M   23008.14850014  .00021583  00000-0  97368-3 0  9997,2 48890  97.5762 142.6498 0008476 110.9501 249.2642 15.20997093 84986,2021-059M,48890,6880.969,94.675,508.666,497.001,0,2023/1/16
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/8 3:33,412096,15.20997093,0.0008476,97.5762,142.6498,110.9501,249.2642,0,999,8498,0.00097368,0.00021583,0,3736235,0 SPACEBEE-104,1 48890U 21059M   23008.14850014  .00021583  00000-0  97368-3 0  9997,2 48890  97.5762 142.6498 0008476 110.9501 249.2642 15.20997093 84986,2021-059M,48890,6880.969,94.675,508.666,497.001,0,2023/1/17
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/9 7:59,653440,15.21046442,0.0008366,97.5763,143.8408,107.0304,253.1848,0,999,8516,0.00094574,0.0002099,0,3737061,0 SPACEBEE-104,1 48890U 21059M   23009.33266960  .00020990  00000-0  94574-3 0  9997,2 48890  97.5763 143.8408 0008366 107.0304 253.1848 15.21046442 85164,2021-059M,48890,6880.82,94.672,508.441,496.928,0,2023/1/18
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/9 7:59,653440,15.21046442,0.0008366,97.5763,143.8408,107.0304,253.1848,0,999,8516,0.00094574,0.0002099,0,3737263,0 SPACEBEE-104,1 48890U 21059M   23009.33266960  .00020990  00000-0  94574-3 0  9997,2 48890  97.5763 143.8408 0008366 107.0304 253.1848 15.21046442 85164,2021-059M,48890,6880.82,94.672,508.441,496.928,0,2023/1/19
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48890,SPACEBEE-104,PAYLOAD,U,21059M,2023/1/10 7:40,281280,15.21089395,0.0008318,97.5765,144.8333,103.5202,256.696,0,999,8531,0.00099222,0.00022056,0,3739038,0 SPACEBEE-104,1 48890U 21059M   23010.31944770  .00022056  00000-0  99222-3 0  9999,2 48890  97.5765 144.8333 0008318 103.5202 256.6960 15.21089395 85313,2021-059M,48890,6880.69,94.669,508.279,496.832,0,2023/1/20
