COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-06 21:02:21","738336","15.12014058","0.0008908","97.5163","316.5687","209.14","150.9334","0","999","167","0.000096967","0.00001602","0","3072229","0 SPACEBEE-106","1 48893U 21059Q   21187.87664049  .00001602  00000-0  96967-4 0  9992","2 48893  97.5163 316.5687 0008908 209.1400 150.9334 15.12014058  1678","2021-059Q","48893","6908.196","95.237","536.214","523.907","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-06 21:02:21","738336","15.12014058","0.0008908","97.5163","316.5687","209.14","150.9334","0","999","167","0.000096967","0.00001602","0","3072401","0 SPACEBEE-106","1 48893U 21059Q   21187.87664049  .00001602  00000-0  96967-4 0  9992","2 48893  97.5163 316.5687 0008908 209.1400 150.9334 15.12014058  1678","2021-059Q","48893","6908.196","95.237","536.214","523.907","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-07 22:27:07","282944","15.1201775","0.0008997","97.5166","317.6108","205.1882","154.8911","0","999","183","0.00011249","0.00001869","0","3072555","0 SPACEBEE-106","1 48893U 21059Q   21188.93550096  .00001869  00000-0  11249-3 0  9990","2 48893  97.5166 317.6108 0008997 205.1882 154.8911 15.12017750  1833","2021-059Q","48893","6908.184","95.237","536.265","523.834","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-07 22:27:07","282944","15.1201775","0.0008997","97.5166","317.6108","205.1882","154.8911","0","999","183","0.00011249","0.00001869","0","3072897","0 SPACEBEE-106","1 48893U 21059Q   21188.93550096  .00001869  00000-0  11249-3 0  9990","2 48893  97.5166 317.6108 0008997 205.1882 154.8911 15.12017750  1833","2021-059Q","48893","6908.184","95.237","536.265","523.834","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-08 17:30:41","261472","15.1202039","0.0009079","97.5166","318.3919","201.9593","158.125","0","999","195","0.000086038","0.00001414","0","3073134","0 SPACEBEE-106","1 48893U 21059Q   21189.72964423  .00001414  00000-0  86038-4 0  9996","2 48893  97.5166 318.3919 0009079 201.9593 158.1250 15.12020390  1956","2021-059Q","48893","6908.176","95.237","536.313","523.769","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-09 14:09:33","78816","15.12022933","0.0009144","97.5169","319.2388","199.0689","161.02","0","999","208","0.000091937","0.00001516","0","3073441","0 SPACEBEE-106","1 48893U 21059Q   21190.58996619  .00001516  00000-0  91937-4 0  9991","2 48893  97.5169 319.2388 0009144 199.0689 161.0200 15.12022933  2083","2021-059Q","48893","6908.169","95.237","536.350","523.717","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-09 14:09:33","78816","15.12022933","0.0009144","97.5169","319.2388","199.0689","161.02","0","999","208","0.000091937","0.00001516","0","3073625","0 SPACEBEE-106","1 48893U 21059Q   21190.58996619  .00001516  00000-0  91937-4 0  9991","2 48893  97.5169 319.2388 0009144 199.0689 161.0200 15.12022933  2083","2021-059Q","48893","6908.169","95.237","536.350","523.717","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-10 18:44:53","753280","15.12027229","0.0009252","97.5171","320.411","194.6934","165.4029","0","999","226","0.000099384","0.00001644","0","3074409","0 SPACEBEE-106","1 48893U 21059Q   21191.78117770  .00001644  00000-0  99384-4 0  9993","2 48893  97.5171 320.4110 0009252 194.6934 165.4029 15.12027229  2267","2021-059Q","48893","6908.155","95.236","536.412","523.629","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-10 18:44:53","753280","15.12027229","0.0009252","97.5171","320.411","194.6934","165.4029","0","999","226","0.000099384","0.00001644","0","3074552","0 SPACEBEE-106","1 48893U 21059Q   21191.78117770  .00001644  00000-0  99384-4 0  9993","2 48893  97.5171 320.4110 0009252 194.6934 165.4029 15.12027229  2267","2021-059Q","48893","6908.155","95.236","536.412","523.629","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-11 13:48:27","401760","15.12030279","0.0009328","97.5172","321.1925","191.828","168.2733","0","999","238","0.00011045","0.00001835","0","3074977","0 SPACEBEE-106","1 48893U 21059Q   21192.57531715  .00001835  00000-0  11045-3 0  9999","2 48893  97.5172 321.1925 0009328 191.8280 168.2733 15.12030279  2382","2021-059Q","48893","6908.146","95.236","536.455","523.567","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48893","SPACEBEE-106","PAYLOAD","U","21059Q","2021-07-11 20:09:38","530656","15.12031543","0.0009352","97.5172","321.453","190.8881","169.2148","0","999","242","0.00010738","0.00001782","0","3075158","0 SPACEBEE-106","1 48893U 21059Q   21192.84002929  .00001782  00000-0  10738-3 0  9998","2 48893  97.5172 321.4530 0009352 190.8881 169.2148 15.12031543  2421","2021-059Q","48893","6908.142","95.236","536.468","523.547","0"
