COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-06 14:41:02","103360","15.12011207","0.0008795","97.5142","316.3053","206.3258","153.7527","0","999","163","-0.00011667","-0.00002068","0","3072229","0 SPACEBEE-105","1 48896U 21059T   21187.61182990 -.00002068  00000-0 -11667-3 0  9999","2 48896  97.5142 316.3053 0008795 206.3258 153.7527 15.12011207  1631","2021-059T","48896","6908.204","95.237","536.145","523.993","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-06 14:41:02","103360","15.12011207","0.0008795","97.5142","316.3053","206.3258","153.7527","0","999","163","-0.00011667","-0.00002068","0","3072401","0 SPACEBEE-105","1 48896U 21059T   21187.61182990 -.00002068  00000-0 -11667-3 0  9999","2 48896  97.5142 316.3053 0008795 206.3258 153.7527 15.12011207  1631","2021-059T","48896","6908.204","95.237","536.145","523.993","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-07 22:26:59","752320","15.12003654","0.0008935","97.5143","317.6073","200.9492","159.1374","0","999","183","0.000037818","0.00000585","0","3072556","0 SPACEBEE-105","1 48896U 21059T   21188.93541380  .00000585  00000-0  37818-4 0  9994","2 48896  97.5143 317.6073 0008935 200.9492 159.1374 15.12003654  1833","2021-059T","48896","6908.227","95.238","536.265","523.920","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-07 22:26:59","752320","15.12003654","0.0008935","97.5143","317.6073","200.9492","159.1374","0","999","183","0.000037818","0.00000585","0","3072897","0 SPACEBEE-105","1 48896U 21059T   21188.93541380  .00000585  00000-0  37818-4 0  9994","2 48896  97.5143 317.6073 0008935 200.9492 159.1374 15.12003654  1833","2021-059T","48896","6908.227","95.238","536.265","523.920","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-08 17:30:34","504992","15.12000333","0.0009035","97.5143","318.3884","197.6207","162.4712","0","999","195","-0.00016122","-0.00002832","0","3073134","0 SPACEBEE-105","1 48896U 21059T   21189.72956603 -.00002832  00000-0 -16122-3 0  9993","2 48896  97.5143 318.3884 0009035 197.6207 162.4712 15.12000333  1956","2021-059T","48896","6908.237","95.238","536.344","523.861","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-09 14:09:27","331488","15.11997448","0.0009046","97.5143","319.2349","195.1108","164.9854","0","999","208","-0.00015011","-0.00002641","0","3073441","0 SPACEBEE-105","1 48896U 21059T   21190.58989967 -.00002641  00000-0 -15011-3 0  9992","2 48896  97.5143 319.2349 0009046 195.1108 164.9854 15.11997448  2087","2021-059T","48896","6908.246","95.238","536.360","523.862","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-09 14:09:27","331488","15.11997448","0.0009046","97.5143","319.2349","195.1108","164.9854","0","999","208","-0.00015011","-0.00002641","0","3073632","0 SPACEBEE-105","1 48896U 21059T   21190.58989967 -.00002641  00000-0 -15011-3 0  9992","2 48896  97.5143 319.2349 0009046 195.1108 164.9854 15.11997448  2087","2021-059T","48896","6908.246","95.238","536.360","523.862","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-10 13:58:56","576064","15.11988929","0.0009094","97.5141","320.2112","191.1166","168.9865","0","999","223","-0.0001462","-0.00002573","0","3074552","0 SPACEBEE-105","1 48896U 21059T   21191.58259926 -.00002573  00000-0 -14620-3 0  9997","2 48896  97.5141 320.2112 0009094 191.1166 168.9865 15.11988929  2235","2021-059T","48896","6908.272","95.239","536.419","523.855","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-11 13:48:26","82432","15.11981633","0.0009198","97.5144","321.1877","187.648","172.4612","0","999","238","-0.0001944","-0.00003399","0","3074977","0 SPACEBEE-105","1 48896U 21059T   21192.57530188 -.00003399  00000-0 -19440-3 0  9991","2 48896  97.5144 321.1877 0009198 187.6480 172.4612 15.11981633  2381","2021-059T","48896","6908.294","95.239","536.514","523.805","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48896","SPACEBEE-105","PAYLOAD","U","21059T","2021-07-11 13:48:26","82432","15.11981633","0.0009198","97.5144","321.1877","187.648","172.4612","0","999","238","-0.0001944","-0.00003399","0","3075065","0 SPACEBEE-105","1 48896U 21059T   21192.57530188 -.00003399  00000-0 -19440-3 0  9991","2 48896  97.5144 321.1877 0009198 187.6480 172.4612 15.11981633  2381","2021-059T","48896","6908.294","95.239","536.514","523.805","0"
