COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED,date
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/1 10:49,740352,15.29237366,0.0008629,97.3675,85.0409,46.0847,314.1104,0,999,4186,0.00097124,0.00027577,0,3728759,0 SPACEBEE-131,1 52181U 22033AA  23001.45111968  .00027577  00000-0  97124-3 0  9992,2 52181  97.3675  85.0409 0008629  46.0847 314.1104 15.29237366 41863,2022-033AA,52181,6856.228,94.165,484.009,472.177,1,2023/1/1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/1 17:06,723840,15.29249568,0.0008611,97.3675,85.3001,45.2502,314.9437,0,999,4190,0.00086621,0.00024586,0,3728952,0 SPACEBEE-131,1 52181U 22033AA  23001.71285560  .00024586  00000-0  86621-3 0  9998,2 52181  97.3675  85.3001 0008611  45.2502 314.9437 15.29249568 41903,2022-033AA,52181,6856.191,94.164,483.96,472.152,1,2023/1/2
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/2 4:06,680000,15.29276176,0.0008633,97.3678,85.7543,43.6884,316.5039,0,999,4195,0.0010017,0.00028481,0,3729319,0 SPACEBEE-131,1 52181U 22033AA  23002.17088750  .00028481  00000-0  10017-2 0  9994,2 52181  97.3678  85.7543 0008633  43.6884 316.5039 15.29276176 41956,2022-033AA,52181,6856.112,94.162,483.896,472.058,1,2023/1/3
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/2 11:57,411136,15.29292116,0.0008591,97.368,86.0782,42.6711,317.5195,0,999,4202,0.0009551,0.00027161,0,3729583,0 SPACEBEE-131,1 52181U 22033AA  23002.49804874  .00027161  00000-0  95510-3 0  9998,2 52181  97.3680  86.0782 0008591  42.6711 317.5195 15.29292116 42024,2022-033AA,52181,6856.064,94.161,483.819,472.039,1,2023/1/4
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/3 3:39,58656,15.29319656,0.0008603,97.3679,86.7267,40.6444,319.5437,0,999,4210,0.00078052,0.00022187,0,3730335,0 SPACEBEE-131,1 52181U 22033AA  23003.15236179  .00022187  00000-0  78052-3 0  9994,2 52181  97.3679  86.7267 0008603  40.6444 319.5437 15.29319656 42101,2022-033AA,52181,6855.982,94.16,483.745,471.949,1,2023/1/5
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/3 5:13,238304,15.29323227,0.0008611,97.3679,86.7915,40.4781,319.7099,0,999,4213,0.00075612,0.00021491,0,3730926,0 SPACEBEE-131,1 52181U 22033AA  23003.21779211  .00021491  00000-0  75612-3 0  9996,2 52181  97.3679  86.7915 0008611  40.4781 319.7099 15.29323227 42130,2022-033AA,52181,6855.971,94.159,483.74,471.933,1,2023/1/6
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/4 4:46,948064,15.29372418,0.000855,97.3678,87.7638,37.1815,323.0016,0,999,4228,0.00099605,0.00028403,0,3731823,0 SPACEBEE-131,1 52181U 22033AA  23004.19923551  .00028403  00000-0  99605-3 0  9990,2 52181  97.3678  87.7638 0008550  37.1815 323.0016 15.29372418 42284,2022-033AA,52181,6855.824,94.156,483.551,471.827,1,2023/1/7
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/4 4:46,948064,15.29372418,0.000855,97.3678,87.7638,37.1815,323.0016,0,999,4226,0.00099605,0.00028403,0,3731839,0 SPACEBEE-131,1 52181U 22033AA  23004.19923551  .00028403  00000-0  99605-3 0  9990,2 52181  97.3678  87.7638 0008550  37.1815 323.0016 15.29372418 42262,2022-033AA,52181,6855.824,94.156,483.551,471.827,1,2023/1/8
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/5 12:11,126688,15.29451935,0.0008447,97.3677,89.06,32.8964,327.2801,0,999,4246,0.00088336,0.00025231,0,3732917,0 SPACEBEE-131,1 52181U 22033AA  23005.50776767  .00025231  00000-0  88336-3 0  9996,2 52181  97.3677  89.0600 0008447  32.8964 327.2801 15.29451935 42469,2022-033AA,52181,6855.587,94.151,483.242,471.661,1,2023/1/9
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52181,SPACEBEE-131,PAYLOAD,U,22033AA,2023/1/5 12:11,126688,15.29451935,0.0008447,97.3677,89.06,32.8964,327.2801,0,999,4248,0.00088336,0.00025231,0,3732939,0 SPACEBEE-131,1 52181U 22033AA  23005.50776767  .00025231  00000-0  88336-3 0  9996,2 52181  97.3677  89.0600 0008447  32.8964 327.2801 15.29451935 42481,2022-033AA,52181,6855.587,94.151,483.242,471.661,1,2023/1/10
