COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED,date
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/1 14:16,493536,15.20645198,0.0008562,97.5749,136.0001,124.0607,236.1442,0,999,8398,0.0008403,0.00018419,0,3728759,0 SPACEBEE-105,1 48896U 21059T   23001.59497099  .00018419  00000-0  84030-3 0  9991,2 48896  97.5749 136.0001 0008562 124.0607 236.1442 15.20645198 83981,2021-059T,48896,6882.03,94.697,509.788,498.003,0,2023/1/1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/2 7:39,564512,15.2067377,0.0008584,97.575,136.7277,121.7419,238.4654,0,999,8409,0.00089389,0.00019618,0,3729427,0 SPACEBEE-105,1 48896U 21059T   23002.31880283  .00019618  00000-0  89389-3 0  9997,2 48896  97.5750 136.7277 0008584 121.7419 238.4654 15.20673770 84094,2021-059T,48896,6881.944,94.695,509.717,497.902,0,2023/1/2
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/2 13:58,781504,15.20680034,0.0008579,97.575,136.9922,120.6837,239.5244,0,999,8413,0.00077359,0.00016965,0,3729583,0 SPACEBEE-105,1 48896U 21059T   23002.58201136  .00016965  00000-0  77359-3 0  9996,2 48896  97.5750 136.9922 0008579 120.6837 239.5244 15.20680034 84132,2021-059T,48896,6881.925,94.694,509.694,497.886,0,2023/1/3
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/2 15:32,67392,15.20682241,0.0008583,97.575,137.0583,120.4634,239.745,0,999,8414,0.00077017,0.00016891,0,3729873,0 SPACEBEE-105,1 48896U 21059T   23002.64781328  .00016891  00000-0  77017-3 0  9998,2 48896  97.5750 137.0583 0008583 120.4634 239.7450 15.20682241 84149,2021-059T,48896,6881.919,94.694,509.69,497.877,0,2023/1/4
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/3 7:20,416512,15.20706783,0.0008617,97.5752,137.7199,118.3331,241.8774,0,999,8424,0.00079628,0.0001748,0,3730926,0 SPACEBEE-105,1 48896U 21059T   23003.30582658  .00017480  00000-0  79628-3 0  9992,2 48896  97.5752 137.7199 0008617 118.3331 241.8774 15.20706783 84241,2021-059T,48896,6881.844,94.693,509.64,497.779,0,2023/1/5
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/3 15:14,312864,15.2071521,0.0008689,97.5753,138.0507,117.237,242.9752,0,999,8429,0.00072145,0.00015831,0,3730800,0 SPACEBEE-105,1 48896U 21059T   23003.63483001  .00015831  00000-0  72145-3 0  9995,2 48896  97.5753 138.0507 0008689 117.2370 242.9752 15.20715210 84297,2021-059T,48896,6881.819,94.692,509.664,497.704,0,2023/1/6
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/4 14:55,555584,15.20758167,0.0008694,97.5758,139.0434,114.0185,246.1961,0,999,8444,0.001024,0.00022549,0,3731823,0 SPACEBEE-105,1 48896U 21059T   23004.62182356  .00022549  00000-0  10240-2 0  9995,2 48896  97.5758 139.0434 0008694 114.0185 246.1961 15.20758167 84440,2021-059T,48896,6881.689,94.69,509.537,497.571,0,2023/1/7
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/4 16:30,545984,15.20761451,0.0008702,97.5757,139.1095,113.7742,246.4406,0,999,8445,0.0010423,0.00022957,0,3731981,0 SPACEBEE-105,1 48896U 21059T   23004.68762206  .00022957  00000-0  10423-2 0  9995,2 48896  97.5757 139.1095 0008702 113.7742 246.4406 15.20761451 84456,2021-059T,48896,6881.68,94.689,509.533,497.556,0,2023/1/8
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/4 16:30,545984,15.20761451,0.0008702,97.5757,139.1095,113.7742,246.4406,0,999,8445,0.0010423,0.00022957,0,3732134,0 SPACEBEE-105,1 48896U 21059T   23004.68762206  .00022957  00000-0  10423-2 0  9995,2 48896  97.5757 139.1095 0008702 113.7742 246.4406 15.20761451 84456,2021-059T,48896,6881.68,94.689,509.533,497.556,0,2023/1/9
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/5 8:17,958368,15.20784281,0.0008708,97.5758,139.7711,111.7074,248.5089,0,999,8455,0.00081089,0.00017844,0,3732939,0 SPACEBEE-105,1 48896U 21059T   23005.34560137  .00017844  00000-0  81089-3 0  9994,2 48896  97.5758 139.7711 0008708 111.7074 248.5089 15.20784281 84557,2021-059T,48896,6881.611,94.688,509.468,497.483,0,2023/1/10
GENERATED VIA SPACETRACK.ORG API,18 SPCS,48896,SPACEBEE-105,PAYLOAD,U,21059T,2023/1/5 8:17,958368,15.20784281,0.0008708,97.5758,139.7711,111.7074,248.5089,0,999,8455,0.00081089,0.00017844,0,3733138,0 SPACEBEE-105,1 48896U 21059T   23005.34560137  .00017844  00000-0  81089-3 0  9994,2 48896  97.5758 139.7711 0008708 111.7074 248.5089 15.20784281 84557,2021-059T,48896,6881.611,94.688,509.468,497.483,0,2023/1/11
